target_key,packet,priority,bucket,similarity,review_signals,japanese_text,korean_context,stt_transcript,audio_url,recommended_action,new_verdict,new_notes
HN4-017 script:1,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,LEXICAL_RISK,0.667,TRANSCRIPTION_TEXT_MISMATCH:忙しい,忙しいですね。,바쁘네요.,忙しい,https://storage.googleapis.com/harukoto-storage/tts/lesson/c66e28bc-0e77-4989-83d4-148611906230/script-line-1.mp3,listen carefully before PASS; prefer FLAG when the source text is not clearly spoken,,
HN4-018 script:0,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,LEXICAL_RISK,0.700,TRANSCRIPTION_TEXT_MISMATCH:この議会は壊れそう。,この機械は壊れそうです。,이 기계는 고장 날 것 같습니다.,この議会は壊れそう。,https://storage.googleapis.com/harukoto-storage/tts/lesson/b68d0a77-31f9-4061-8e22-baedb02367f7/script-line-0.mp3,listen carefully before PASS; prefer FLAG when the source text is not clearly spoken,,
HN4-019 script:3,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,LEXICAL_RISK,0.800,TRANSCRIPTION_TEXT_MISMATCH:てくてはさおむそうですから早く行きましょう。,受付は混むそうですから、早く行きましょう。,"접수는 붐빈다고 하니, 일찍 갑시다.",てくてはさおむそうですから早く行きましょう。,https://storage.googleapis.com/harukoto-storage/tts/lesson/50d21797-c2c3-40ed-8641-db05efa0578d/script-line-3.mp3,listen carefully before PASS; prefer FLAG when the source text is not clearly spoken,,
HN4-018 script:2,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,NEAR_JAPANESE_MATCH,0.933,TRANSCRIPTION_TEXT_MISMATCH:別の機会なら操作が簡単そうです。,別の機械なら操作が簡単そうです。,다른 기계라면 조작이 간단해 보입니다.,別の機会なら操作が簡単そうです。,https://storage.googleapis.com/harukoto-storage/tts/lesson/b68d0a77-31f9-4061-8e22-baedb02367f7/script-line-2.mp3,listen once before PASS; set FLAG if the spoken sentence follows the transcript rather than the source,,
HN4-018 script:3,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,NEAR_JAPANESE_MATCH,0.844,TRANSCRIPTION_TEXT_MISMATCH:てんたかさんも大変そうですね。早めに相談しましょう。,田中さんも大変そうです。早めに相談しましょう。,다나카 씨도 힘들어 보입니다. 일찍 상담합시다.,てんたかさんも大変そうですね。早めに相談しましょう。,https://storage.googleapis.com/harukoto-storage/tts/lesson/b68d0a77-31f9-4061-8e22-baedb02367f7/script-line-3.mp3,listen once before PASS; set FLAG if the spoken sentence follows the transcript rather than the source,,
HN4-019 script:0,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,NEAR_JAPANESE_MATCH,0.944,TRANSCRIPTION_TEXT_MISMATCH:明日の会議は3時から始まるそうです。,明日の会議は三時から始まるそうです。,내일 회의는 세 시부터 시작한다고 합니다.,明日の会議は3時から始まるそうです。,https://storage.googleapis.com/harukoto-storage/tts/lesson/50d21797-c2c3-40ed-8641-db05efa0578d/script-line-0.mp3,listen once before PASS; set FLAG if the spoken sentence follows the transcript rather than the source,,
HN4-020 script:0,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,NEAR_JAPANESE_MATCH,0.875,TRANSCRIPTION_TEXT_MISMATCH:約束は守るもの。,約束は守るものです。,약속은 지키는 법입니다.,約束は守るもの。,https://storage.googleapis.com/harukoto-storage/tts/lesson/8d0b1638-2521-4556-964f-29023d1dbcef/script-line-0.mp3,listen once before PASS; set FLAG if the spoken sentence follows the transcript rather than the source,,
HN4-021 script:0,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,NEAR_JAPANESE_MATCH,0.929,"TRANSCRIPTION_FAILED:TimeoutError:, TRANSCRIPTION_TEXT_MISMATCH:予約したので昔はあるはずです。",予約したので、席はあるはずです。,예약했으니 자리는 있을 것입니다.,予約したので昔はあるはずです。,https://storage.googleapis.com/harukoto-storage/tts/lesson/92a62f1e-1a2f-4b54-897f-50ce13c2696a/script-line-0.mp3,listen once before PASS; set FLAG if the spoken sentence follows the transcript rather than the source,,
HN4-021 script:2,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,NEAR_JAPANESE_MATCH,0.914,"TRANSCRIPTION_FAILED:TimeoutError:, TRANSCRIPTION_TEXT_MISMATCH:会議の予定は午後二時に決まるはずです。",会議の予定は午後に決まるはずです。,회의 예정은 오후에 정해질 것입니다.,会議の予定は午後二時に決まるはずです。,https://storage.googleapis.com/harukoto-storage/tts/lesson/92a62f1e-1a2f-4b54-897f-50ce13c2696a/script-line-2.mp3,listen once before PASS; set FLAG if the spoken sentence follows the transcript rather than the source,,
HN4-021 script:3,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,NEAR_JAPANESE_MATCH,0.889,"TRANSCRIPTION_FAILED:TimeoutError:, TRANSCRIPTION_TEXT_MISMATCH:準備はできそうね",準備はできそうですね。,준비는 될 것 같네요.,準備はできそうね,https://storage.googleapis.com/harukoto-storage/tts/lesson/92a62f1e-1a2f-4b54-897f-50ce13c2696a/script-line-3.mp3,listen once before PASS; set FLAG if the spoken sentence follows the transcript rather than the source,,
HN4-017 question:1,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.000,TRANSCRIPTION_TEXT_MISMATCH:サウジ,掃除의 뜻은?,,サウジ,https://storage.googleapis.com/harukoto-storage/tts/lesson/c66e28bc-0e77-4989-83d4-148611906230/question-1.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-017 question:2,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.000,TRANSCRIPTION_TEXT_MISMATCH:シータクエソン,洗濯의 뜻은?,,シータクエソン,https://storage.googleapis.com/harukoto-storage/tts/lesson/c66e28bc-0e77-4989-83d4-148611906230/question-2.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-017 question:3,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.733,TRANSCRIPTION_TEXT_MISMATCH:掃除をし、なつじを、洗濯をし、にぞうをします。,掃除をし___、洗濯をし___します。,,掃除をし、なつじを、洗濯をし、にぞうをします。,https://storage.googleapis.com/harukoto-storage/tts/lesson/c66e28bc-0e77-4989-83d4-148611906230/question-3.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-017 question:4,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.417,TRANSCRIPTION_TEXT_MISMATCH:文脈さん準備に該当するマルは来週のあやをしたりします。,문맥상 '준비'에 해당하는 말은? 来週の___をしたりします。,,文脈さん準備に該当するマルは来週のあやをしたりします。,https://storage.googleapis.com/harukoto-storage/tts/lesson/c66e28bc-0e77-4989-83d4-148611906230/question-4.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-017 question:5,docs/operations/plans/n4-wave3-draft-human-audio-qa-ch05-2026-05-27.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.000,TRANSCRIPTION_TEXT_MISMATCH:チョンソをハゴナ、パレロハゴナ、ハムニダを配列ハセヨ。,'청소를 하거나 빨래를 하거나 합니다'를 배열하세요.,,チョンソをハゴナ、パレロハゴナ、ハムニダを配列ハセヨ。,https://storage.googleapis.com/harukoto-storage/tts/lesson/c66e28bc-0e77-4989-83d4-148611906230/question-5.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
