target_key,packet,priority,bucket,similarity,review_signals,japanese_text,korean_context,stt_transcript,audio_url,recommended_action,new_verdict,new_notes
HN4-001 question:1,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.000,TRANSCRIPTION_TEXT_MISMATCH:機序、イエッスン,規則의 뜻은?,,機序、イエッスン,https://storage.googleapis.com/harukoto-storage/tts/lesson/b544d1f5-8089-45f8-b3d9-6428b60a0ece/question-1.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-001 question:2,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.000,TRANSCRIPTION_TEXT_MISMATCH:ジュリー、イェー,注意의 뜻은?,,ジュリー、イェー,https://storage.googleapis.com/harukoto-storage/tts/lesson/b544d1f5-8089-45f8-b3d9-6428b60a0ece/question-2.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-001 question:4,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.214,TRANSCRIPTION_TEXT_MISMATCH:基礎を確認 キジクルファキナセヨ,規則を確認___. (규칙을 확인하세요.),,基礎を確認 キジクルファキナセヨ,https://storage.googleapis.com/harukoto-storage/tts/lesson/b544d1f5-8089-45f8-b3d9-6428b60a0ece/question-4.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-001 question:5,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.154,TRANSCRIPTION_TEXT_MISMATCH:名前を쓰세요を正しい順序で配列してください。,'이름을 쓰세요'를 올바른 순서로 배열하세요.,,名前を쓰세요を正しい順序で配列してください。,https://storage.googleapis.com/harukoto-storage/tts/lesson/b544d1f5-8089-45f8-b3d9-6428b60a0ece/question-5.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-002 question:1,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.000,TRANSCRIPTION_TEXT_MISMATCH:しんぺいげんつ,心配의 뜻은?,,しんぺいげんつ,https://storage.googleapis.com/harukoto-storage/tts/lesson/89433566-b321-4f99-ac20-9ffb87e69d6b/question-1.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-002 question:2,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.000,TRANSCRIPTION_TEXT_MISMATCH:シャンダンエー,相談의 뜻은?,,シャンダンエー,https://storage.googleapis.com/harukoto-storage/tts/lesson/89433566-b321-4f99-ac20-9ffb87e69d6b/question-2.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-002 question:3,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.000,TRANSCRIPTION_TEXT_MISMATCH:たやこ へん あら イルチッ ジャヌン ピョニ チョッスムニダ,早く寝___。 (일찍 자는 편이 좋습니다.),,たやこ へん あら イルチッ ジャヌン ピョニ チョッスムニダ,https://storage.googleapis.com/harukoto-storage/tts/lesson/89433566-b321-4f99-ac20-9ffb87e69d6b/question-3.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-003 question:1,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.000,TRANSCRIPTION_TEXT_MISMATCH:タイフン,台風의 뜻은?,,タイフン,https://storage.googleapis.com/harukoto-storage/tts/lesson/82d7334e-c4c4-4102-86ea-7be9b3218bce/question-1.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-003 question:2,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.286,TRANSCRIPTION_TEXT_MISMATCH:カニアウエイト,間に合う의 뜻은?,,カニアウエイト,https://storage.googleapis.com/harukoto-storage/tts/lesson/82d7334e-c4c4-4102-86ea-7be9b3218bce/question-2.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-004 question:1,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.182,TRANSCRIPTION_TEXT_MISMATCH:たりとえぬ,足りる의 뜻은?,,たりとえぬ,https://storage.googleapis.com/harukoto-storage/tts/lesson/8368ee77-eeb8-48b2-9c81-2cfd597e5f7a/question-1.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-004 question:2,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.000,TRANSCRIPTION_TEXT_MISMATCH:ゆでやしん,予定의 뜻은?,,ゆでやしん,https://storage.googleapis.com/harukoto-storage/tts/lesson/8368ee77-eeb8-48b2-9c81-2cfd597e5f7a/question-2.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-004 question:3,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.143,TRANSCRIPTION_TEXT_MISMATCH:走るかい タリル スバッケ オプスムニダ,走る___。 (달릴 수밖에 없습니다.),,走るかい タリル スバッケ オプスムニダ,https://storage.googleapis.com/harukoto-storage/tts/lesson/8368ee77-eeb8-48b2-9c81-2cfd597e5f7a/question-3.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-004 question:5,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.000,TRANSCRIPTION_TEXT_MISMATCH:よっかぢ たっりるしゅばっけ おぷすんにだ を はいれつはぜよ,'역까지 달릴 수밖에 없습니다'를 배열하세요.,,よっかぢ たっりるしゅばっけ おぷすんにだ を はいれつはぜよ,https://storage.googleapis.com/harukoto-storage/tts/lesson/8368ee77-eeb8-48b2-9c81-2cfd597e5f7a/question-5.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-005 question:1,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.000,TRANSCRIPTION_TEXT_MISMATCH:ファンヤクエトス,翻訳의 뜻은?,,ファンヤクエトス,https://storage.googleapis.com/harukoto-storage/tts/lesson/17851e67-db52-41b8-a651-d416251b0ead/question-1.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-005 question:2,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.727,TRANSCRIPTION_TEXT_MISMATCH:申し込む,申し込む의 뜻은?,,申し込む,https://storage.googleapis.com/harukoto-storage/tts/lesson/17851e67-db52-41b8-a651-d416251b0ead/question-2.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-005 question:3,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.914,TRANSCRIPTION_TEXT_MISMATCH:漢字を調べ、赤字ら、한자를 찾아볼 수 있습니다。,漢字を調べ___。 (한자를 찾아볼 수 있습니다.),,漢字を調べ、赤字ら、한자를 찾아볼 수 있습니다。,https://storage.googleapis.com/harukoto-storage/tts/lesson/17851e67-db52-41b8-a651-d416251b0ead/question-3.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-006 question:1,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.000,TRANSCRIPTION_TEXT_MISMATCH:カメヤギ,深い의 뜻은?,,カメヤギ,https://storage.googleapis.com/harukoto-storage/tts/lesson/94d8d321-17c6-4fa1-8c50-af29c08e9c22/question-1.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-006 question:2,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.667,TRANSCRIPTION_TEXT_MISMATCH:正しい,正しい의 뜻은?,,正しい,https://storage.googleapis.com/harukoto-storage/tts/lesson/94d8d321-17c6-4fa1-8c50-af29c08e9c22/question-2.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-006 question:3,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.350,TRANSCRIPTION_TEXT_MISMATCH:国の金を確認します。法成企ビルを確認します。,湖の深___を確認します。 (호수의 깊이를 확인합니다.),,国の金を確認します。法成企ビルを確認します。,https://storage.googleapis.com/harukoto-storage/tts/lesson/94d8d321-17c6-4fa1-8c50-af29c08e9c22/question-3.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
