target_key,packet,priority,bucket,similarity,review_signals,japanese_text,korean_context,stt_transcript,audio_url,recommended_action,new_verdict,new_notes
HN4-015 question:4,docs/operations/plans/n4-wave2-draft-human-audio-qa-ch04-2026-05-20.md,P0 machine warning,P0_MACHINE_WARNING,1.000,"HIGH_SILENCE_RATIO:0.4203, TRANSCRIPTION_TEXT_MISMATCH:スマートフォンをてしまいました",スマートフォンを___てしまいました。,,スマートフォンをてしまいました,https://storage.googleapis.com/harukoto-storage/tts/lesson/e812f2e7-4e5e-4e02-b566-47893239c20c/question-4.mp3,"listen first; check silence/spacing, intelligibility, and text completeness before setting PASS/FLAG/FAIL",,
HN4-015 script:1,docs/operations/plans/n4-wave2-draft-human-audio-qa-ch04-2026-05-20.md,P1 STT mismatch,LEXICAL_RISK,0.667,TRANSCRIPTION_TEXT_MISMATCH:それは新米です。,それは心配ですね。,그건 걱정이네요.,それは新米です。,https://storage.googleapis.com/harukoto-storage/tts/lesson/e812f2e7-4e5e-4e02-b566-47893239c20c/script-line-1.mp3,listen carefully before PASS; prefer FLAG when the source text is not clearly spoken,,
HN4-013 script:1,docs/operations/plans/n4-wave2-draft-human-audio-qa-ch04-2026-05-20.md,P1 STT mismatch,NEAR_JAPANESE_MATCH,0.833,TRANSCRIPTION_TEXT_MISMATCH:わからなければ、ふふで聞いてみましょう。,分からなければ、受付で聞いてみましょう。,모르면 접수처에서 한번 물어봅시다.,わからなければ、ふふで聞いてみましょう。,https://storage.googleapis.com/harukoto-storage/tts/lesson/254bf018-bbdc-41f7-9458-67cedba4a4c7/script-line-1.mp3,listen once before PASS; set FLAG if the spoken sentence follows the transcript rather than the source,,
HN4-013 script:2,docs/operations/plans/n4-wave2-draft-human-audio-qa-ch04-2026-05-20.md,P1 STT mismatch,NEAR_JAPANESE_MATCH,0.870,TRANSCRIPTION_TEXT_MISMATCH:案内のおせも読んでみます。,案内の紙も読んでみます。,안내 종이도 한번 읽어보겠습니다.,案内のおせも読んでみます。,https://storage.googleapis.com/harukoto-storage/tts/lesson/254bf018-bbdc-41f7-9458-67cedba4a4c7/script-line-2.mp3,listen once before PASS; set FLAG if the spoken sentence follows the transcript rather than the source,,
HN4-016 script:3,docs/operations/plans/n4-wave2-draft-human-audio-qa-ch04-2026-05-20.md,P1 STT mismatch,NEAR_JAPANESE_MATCH,0.865,TRANSCRIPTION_TEXT_MISMATCH:ひとりで難しい時はクラスに参加します。,一人で難しい時は、クラスに参加します。,혼자서 어려울 때는 수업에 참가합니다.,ひとりで難しい時はクラスに参加します。,https://storage.googleapis.com/harukoto-storage/tts/lesson/ca89a60e-8cbf-41f4-8345-87cc0ac763ef/script-line-3.mp3,listen once before PASS; set FLAG if the spoken sentence follows the transcript rather than the source,,
HN4-012 question:1,docs/operations/plans/n4-wave2-draft-human-audio-qa-ch04-2026-05-20.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.250,TRANSCRIPTION_TEXT_MISMATCH:丁珏孫,丁寧의 뜻은?,,丁珏孫,https://storage.googleapis.com/harukoto-storage/tts/lesson/d4633ddc-7d4a-4c57-ab33-79dc472d9905/question-1.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-012 question:2,docs/operations/plans/n4-wave2-draft-human-audio-qa-ch04-2026-05-20.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.000,TRANSCRIPTION_TEXT_MISMATCH:地震ゲイツン,自信의 뜻은?,,地震ゲイツン,https://storage.googleapis.com/harukoto-storage/tts/lesson/d4633ddc-7d4a-4c57-ab33-79dc472d9905/question-2.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-012 question:3,docs/operations/plans/n4-wave2-draft-human-audio-qa-ch04-2026-05-20.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.542,TRANSCRIPTION_TEXT_MISMATCH:[malformed STT response] 説明が丁寧だ。あら、練習も多いです。,説明が丁寧だ___、練習も多いです。,,[malformed STT response] 説明が丁寧だ。あら、練習も多いです。,https://storage.googleapis.com/harukoto-storage/tts/lesson/d4633ddc-7d4a-4c57-ab33-79dc472d9905/question-3.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-012 question:4,docs/operations/plans/n4-wave2-draft-human-audio-qa-ch04-2026-05-20.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.696,TRANSCRIPTION_TEXT_MISMATCH:試験の前でもなわあじゅうです。,試験の前でも___ですね。,,試験の前でもなわあじゅうです。,https://storage.googleapis.com/harukoto-storage/tts/lesson/d4633ddc-7d4a-4c57-ab33-79dc472d9905/question-4.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
HN4-012 question:5,docs/operations/plans/n4-wave2-draft-human-audio-qa-ch04-2026-05-20.md,P1 STT mismatch,MIXED_PROMPT_STT_UNRELIABLE,0.000,TRANSCRIPTION_TEXT_MISMATCH:イスオプン ソルミョンイ チョンジュンハゴ アンシムイムニダルル ペヨルハセヨ,'이 수업은 설명이 정중하고 안심입니다'를 배열하세요.,,イスオプン ソルミョンイ チョンジュンハゴ アンシムイムニダルル ペヨルハセヨ,https://storage.googleapis.com/harukoto-storage/tts/lesson/d4633ddc-7d4a-4c57-ab33-79dc472d9905/question-5.mp3,listen for learner-facing completeness; do not treat STT mismatch alone as a fail,,
