target_key,packet,priority,japanese_text,korean_context,audio_url,current_verdict,candidate_reason,recommended_action,new_verdict,new_notes
HN4-001 script:0,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P2 pending,宿題を出す前に、名前を書きなさい。,숙제를 내기 전에 이름을 쓰세요.,https://storage.googleapis.com/harukoto-storage/tts/lesson/b544d1f5-8089-45f8-b3d9-6428b60a0ece/script-line-0.mp3,PENDING,machine pass + no parsed machine/STT review signal,"listen once; if complete and intelligible, set new_verdict=PASS",,
HN4-001 script:1,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P2 pending,はい、ここに書けばいいですか。,"네, 여기에 쓰면 되나요?",https://storage.googleapis.com/harukoto-storage/tts/lesson/b544d1f5-8089-45f8-b3d9-6428b60a0ece/script-line-1.mp3,PENDING,machine pass + no parsed machine/STT review signal,"listen once; if complete and intelligible, set new_verdict=PASS",,
HN4-001 script:2,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P2 pending,はい。それから、規則をもう一度確認しなさい。,네. 그리고 규칙을 한 번 더 확인하세요.,https://storage.googleapis.com/harukoto-storage/tts/lesson/b544d1f5-8089-45f8-b3d9-6428b60a0ece/script-line-2.mp3,PENDING,machine pass + no parsed machine/STT review signal,"listen once; if complete and intelligible, set new_verdict=PASS",,
HN4-002 question:5,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P2 pending,'오늘은 일찍 자는 편이 좋습니다'를 배열하세요.,,https://storage.googleapis.com/harukoto-storage/tts/lesson/89433566-b321-4f99-ac20-9ffb87e69d6b/question-5.mp3,PENDING,machine pass + no parsed machine/STT review signal,"listen once; if complete and intelligible, set new_verdict=PASS",,
HN4-003 script:0,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P2 pending,台風で電車が遅れるかもしれません。,태풍 때문에 전철이 늦을지도 모릅니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/82d7334e-c4c4-4102-86ea-7be9b3218bce/script-line-0.mp3,PENDING,machine pass + no parsed machine/STT review signal,"listen once; if complete and intelligible, set new_verdict=PASS",,
HN4-003 script:2,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P2 pending,最近、天気がよく変わります。,최근 날씨가 자주 바뀝니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/82d7334e-c4c4-4102-86ea-7be9b3218bce/script-line-2.mp3,PENDING,machine pass + no parsed machine/STT review signal,"listen once; if complete and intelligible, set new_verdict=PASS",,
HN4-003 script:3,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P2 pending,少し心配ですが、早めに出発します。,조금 걱정되지만 일찍 출발하겠습니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/82d7334e-c4c4-4102-86ea-7be9b3218bce/script-line-3.mp3,PENDING,machine pass + no parsed machine/STT review signal,"listen once; if complete and intelligible, set new_verdict=PASS",,
HN4-003 question:5,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P2 pending,'전철이 늦을지도 모릅니다'를 배열하세요.,,https://storage.googleapis.com/harukoto-storage/tts/lesson/82d7334e-c4c4-4102-86ea-7be9b3218bce/question-5.mp3,PENDING,machine pass + no parsed machine/STT review signal,"listen once; if complete and intelligible, set new_verdict=PASS",,
HN4-004 script:2,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P2 pending,タクシーは高いので、電車に乗るしかありません。,택시는 비싸서 전철을 탈 수밖에 없습니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/8368ee77-eeb8-48b2-9c81-2cfd597e5f7a/script-line-2.mp3,PENDING,machine pass + no parsed machine/STT review signal,"listen once; if complete and intelligible, set new_verdict=PASS",,
HN4-005 script:0,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P2 pending,このアプリで漢字を調べられます。,이 앱으로 한자를 찾아볼 수 있습니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/17851e67-db52-41b8-a651-d416251b0ead/script-line-0.mp3,PENDING,machine pass + no parsed machine/STT review signal,"listen once; if complete and intelligible, set new_verdict=PASS",,
HN4-005 script:3,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P2 pending,それなら自信を持って勉強できます。,그렇다면 자신감을 갖고 공부할 수 있습니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/17851e67-db52-41b8-a651-d416251b0ead/script-line-3.mp3,PENDING,machine pass + no parsed machine/STT review signal,"listen once; if complete and intelligible, set new_verdict=PASS",,
HN4-005 question:5,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P2 pending,'이 앱으로 한자를 찾아볼 수 있습니다'를 배열하세요.,,https://storage.googleapis.com/harukoto-storage/tts/lesson/17851e67-db52-41b8-a651-d416251b0ead/question-5.mp3,PENDING,machine pass + no parsed machine/STT review signal,"listen once; if complete and intelligible, set new_verdict=PASS",,
HN4-006 script:3,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P2 pending,情報の正しさも大切ですね。,정보의 정확성도 중요하네요.,https://storage.googleapis.com/harukoto-storage/tts/lesson/94d8d321-17c6-4fa1-8c50-af29c08e9c22/script-line-3.mp3,PENDING,machine pass + no parsed machine/STT review signal,"listen once; if complete and intelligible, set new_verdict=PASS",,
