target_key,packet,priority,bucket,similarity,review_signals,japanese_text,korean_context,stt_transcript,audio_url,current_verdict,recommended_action,new_verdict,new_notes
HN4-001 question:3,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P0 machine warning,P0_MACHINE_WARNING,0.455,"HIGH_SILENCE_RATIO:0.3863, TRANSCRIPTION_TEXT_MISMATCH:名前を書き イムルスセヨ",名前を書き___. (이름을 쓰세요.),,名前を書き イムルスセヨ,https://storage.googleapis.com/harukoto-storage/tts/lesson/b544d1f5-8089-45f8-b3d9-6428b60a0ece/question-3.mp3,PENDING,"listen first; check silence/spacing, intelligibility, and text completeness before setting PASS/FLAG/FAIL",,
HN4-002 question:4,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P0 machine warning,P0_MACHINE_WARNING,0.270,"HIGH_SILENCE_RATIO:0.3876, TRANSCRIPTION_TEXT_MISMATCH:医者に相談 医者と相談する方がいいです",医者に相談___。 (의사와 상담하는 편이 좋습니다.),,医者に相談 医者と相談する方がいいです,https://storage.googleapis.com/harukoto-storage/tts/lesson/89433566-b321-4f99-ac20-9ffb87e69d6b/question-4.mp3,PENDING,"listen first; check silence/spacing, intelligibility, and text completeness before setting PASS/FLAG/FAIL",,
HN4-003 question:3,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P0 machine warning,P0_MACHINE_WARNING,0.211,"HIGH_SILENCE_RATIO:0.3646, TRANSCRIPTION_TEXT_MISMATCH:転写が遅れる ちょんちょり ぬじるちど もるにだ",電車が遅れる___。 (전철이 늦을지도 모릅니다.),,転写が遅れる ちょんちょり ぬじるちど もるにだ,https://storage.googleapis.com/harukoto-storage/tts/lesson/82d7334e-c4c4-4102-86ea-7be9b3218bce/question-3.mp3,PENDING,"listen first; check silence/spacing, intelligibility, and text completeness before setting PASS/FLAG/FAIL",,
HN4-003 question:4,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P0 machine warning,P0_MACHINE_WARNING,0.286,"HIGH_SILENCE_RATIO:0.4078, TRANSCRIPTION_TEXT_MISMATCH:間に合わない。 時間に間に合わないかもしれません。",間に合わない___。 (시간에 맞지 못할지도 모릅니다.),,間に合わない。 時間に間に合わないかもしれません。,https://storage.googleapis.com/harukoto-storage/tts/lesson/82d7334e-c4c4-4102-86ea-7be9b3218bce/question-4.mp3,PENDING,"listen first; check silence/spacing, intelligibility, and text completeness before setting PASS/FLAG/FAIL",,
HN4-004 question:4,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P0 machine warning,P0_MACHINE_WARNING,0.256,"HIGH_SILENCE_RATIO:0.3813, TRANSCRIPTION_TEXT_MISMATCH:電車に乗るは ちょんちょろをたるすわけありません。",電車に乗る___。 (전철을 탈 수밖에 없습니다.),,電車に乗るは ちょんちょろをたるすわけありません。,https://storage.googleapis.com/harukoto-storage/tts/lesson/8368ee77-eeb8-48b2-9c81-2cfd597e5f7a/question-4.mp3,PENDING,"listen first; check silence/spacing, intelligibility, and text completeness before setting PASS/FLAG/FAIL",,
HN4-005 question:4,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P0 machine warning,P0_MACHINE_WARNING,0.242,"HIGH_SILENCE_RATIO:0.3968, TRANSCRIPTION_TEXT_MISMATCH:文語翻訳 文章を翻訳することができます",文を翻訳___。 (문장을 번역할 수 있습니다.),,文語翻訳 文章を翻訳することができます,https://storage.googleapis.com/harukoto-storage/tts/lesson/17851e67-db52-41b8-a651-d416251b0ead/question-4.mp3,PENDING,"listen first; check silence/spacing, intelligibility, and text completeness before setting PASS/FLAG/FAIL",,
HN4-006 question:4,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P0 machine warning,P0_MACHINE_WARNING,0.242,"HIGH_SILENCE_RATIO:0.3523, TRANSCRIPTION_TEXT_MISMATCH:洗脳体を見ます。そうね、クッキリを見ます。",線の太___を見ます。 (선의 굵기를 봅니다.),,洗脳体を見ます。そうね、クッキリを見ます。,https://storage.googleapis.com/harukoto-storage/tts/lesson/94d8d321-17c6-4fa1-8c50-af29c08e9c22/question-4.mp3,PENDING,"listen first; check silence/spacing, intelligibility, and text completeness before setting PASS/FLAG/FAIL",,
HN4-008 question:3,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P0 machine warning,P0_MACHINE_WARNING,0.364,"HIGH_SILENCE_RATIO:0.4026, TRANSCRIPTION_TEXT_MISMATCH:会議がなかった フェイが消ろとんごよ",会議が長かった___。 (회의가 길었던 거예요.),,会議がなかった フェイが消ろとんごよ,https://storage.googleapis.com/harukoto-storage/tts/lesson/78e8b581-c81d-4465-b49d-cf0e4b49db4a/question-3.mp3,PENDING,"listen first; check silence/spacing, intelligibility, and text completeness before setting PASS/FLAG/FAIL",,
HN4-009 question:4,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P0 machine warning,P0_MACHINE_WARNING,0.483,"HIGH_SILENCE_RATIO:0.4041, TRANSCRIPTION_TEXT_MISMATCH:給食する 準備します",就職する___、準備します。 (취직하기 위해 준비합니다.),,給食する 準備します,https://storage.googleapis.com/harukoto-storage/tts/lesson/3221de04-7925-47d9-880a-2adcabfc58b1/question-4.mp3,PENDING,"listen first; check silence/spacing, intelligibility, and text completeness before setting PASS/FLAG/FAIL",,
HN4-010 question:4,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P0 machine warning,P0_MACHINE_WARNING,1.000,"HIGH_SILENCE_RATIO:0.3915, TRANSCRIPTION_TEXT_MISMATCH:信号が青になる 車が進みます",信号が青になる___、車が進みます。,,信号が青になる 車が進みます,https://storage.googleapis.com/harukoto-storage/tts/lesson/1445c28c-bd0c-4c0a-b8f7-2708c51acca7/question-4.mp3,PENDING,"listen first; check silence/spacing, intelligibility, and text completeness before setting PASS/FLAG/FAIL",,
HN4-011 question:3,docs/operations/plans/n4-pilot-human-audio-qa-ch03-2026-05-13.md,P0 machine warning,P0_MACHINE_WARNING,0.244,"HIGH_SILENCE_RATIO:0.359, TRANSCRIPTION_TEXT_MISMATCH:カビの音 お比べます。 ジョンギエたける比較します。",紙の厚___を比べます。 (종이의 두께를 비교합니다.),,カビの音 お比べます。 ジョンギエたける比較します。,https://storage.googleapis.com/harukoto-storage/tts/lesson/03cfdb15-c916-450c-8168-9052f3e754aa/question-3.mp3,PENDING,"listen first; check silence/spacing, intelligibility, and text completeness before setting PASS/FLAG/FAIL",,
HN4-001 script:3,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,LEXICAL_RISK,0.759,TRANSCRIPTION_TEXT_MISMATCH:わかりました。定時に確認します。,分かりました。丁寧に確認します。,알겠습니다. 꼼꼼히 확인하겠습니다.,わかりました。定時に確認します。,https://storage.googleapis.com/harukoto-storage/tts/lesson/b544d1f5-8089-45f8-b3d9-6428b60a0ece/script-line-3.mp3,PENDING,listen carefully before PASS; prefer FLAG when the source text is not clearly spoken,,
HN4-003 script:1,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,LEXICAL_RISK,0.732,TRANSCRIPTION_TEXT_MISMATCH:じゃあ、会計に値に合わないかもしれないですね。,じゃあ、会議に間に合わないかもしれませんね。,그럼 회의에 맞추지 못할지도 모르겠네요.,じゃあ、会計に値に合わないかもしれないですね。,https://storage.googleapis.com/harukoto-storage/tts/lesson/82d7334e-c4c4-4102-86ea-7be9b3218bce/script-line-1.mp3,PENDING,listen carefully before PASS; prefer FLAG when the source text is not clearly spoken,,
HN4-004 script:3,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P1 STT mismatch,LEXICAL_RISK,0.786,TRANSCRIPTION_TEXT_MISMATCH:始めないで競いに行きましょう,諦めないで、急いで行きましょう。,포기하지 말고 서둘러 갑시다.,始めないで競いに行きましょう,https://storage.googleapis.com/harukoto-storage/tts/lesson/8368ee77-eeb8-48b2-9c81-2cfd597e5f7a/script-line-3.mp3,PENDING,listen carefully before PASS; prefer FLAG when the source text is not clearly spoken,,
HN4-006 script:0,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,LEXICAL_RISK,0.692,TRANSCRIPTION_TEXT_MISMATCH:骨の傘を実で確認しました。,湖の深さを地図で確認しました。,호수의 깊이를 지도에서 확인했습니다.,骨の傘を実で確認しました。,https://storage.googleapis.com/harukoto-storage/tts/lesson/94d8d321-17c6-4fa1-8c50-af29c08e9c22/script-line-0.mp3,PENDING,listen carefully before PASS; prefer FLAG when the source text is not clearly spoken,,
HN4-006 script:2,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P1 STT mismatch,LEXICAL_RISK,0.533,TRANSCRIPTION_TEXT_MISMATCH:はい。不当操作や操作もみられます。,はい。線の太さや細さも見られます。,네. 선의 굵기나 가늘기도 볼 수 있습니다.,はい。不当操作や操作もみられます。,https://storage.googleapis.com/harukoto-storage/tts/lesson/94d8d321-17c6-4fa1-8c50-af29c08e9c22/script-line-2.mp3,PENDING,listen carefully before PASS; prefer FLAG when the source text is not clearly spoken,,
