target_key,packet,priority,japanese_text,korean_context,audio_url,current_verdict,candidate_reason,recommended_action,new_verdict,new_notes
HN4-012 script:0,docs/operations/plans/n4-wave2-draft-human-audio-qa-ch04-2026-05-20.md,P2 pending,この授業は説明が丁寧だし、練習も多いです。,이 수업은 설명이 정중하고 연습도 많습니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/d4633ddc-7d4a-4c57-ab33-79dc472d9905/script-line-0.mp3,PENDING,machine pass + no parsed machine/STT review signal,"listen once; if complete and intelligible, set new_verdict=PASS",,
HN4-012 script:1,docs/operations/plans/n4-wave2-draft-human-audio-qa-ch04-2026-05-20.md,P2 pending,試験の前でも安心ですね。,시험 전에도 안심이네요.,https://storage.googleapis.com/harukoto-storage/tts/lesson/d4633ddc-7d4a-4c57-ab33-79dc472d9905/script-line-1.mp3,PENDING,machine pass + no parsed machine/STT review signal,"listen once; if complete and intelligible, set new_verdict=PASS",,
HN4-012 script:2,docs/operations/plans/n4-wave2-draft-human-audio-qa-ch04-2026-05-20.md,P2 pending,はい。質問しやすいし、自信もつきます。,네. 질문하기도 쉽고 자신감도 생깁니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/d4633ddc-7d4a-4c57-ab33-79dc472d9905/script-line-2.mp3,PENDING,machine pass + no parsed machine/STT review signal,"listen once; if complete and intelligible, set new_verdict=PASS",,
HN4-012 script:3,docs/operations/plans/n4-wave2-draft-human-audio-qa-ch04-2026-05-20.md,P2 pending,理由を二つ言う時に、しを使えます。,이유를 두 가지 말할 때 し를 쓸 수 있습니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/d4633ddc-7d4a-4c57-ab33-79dc472d9905/script-line-3.mp3,PENDING,machine pass + no parsed machine/STT review signal,"listen once; if complete and intelligible, set new_verdict=PASS",,
HN4-013 script:0,docs/operations/plans/n4-wave2-draft-human-audio-qa-ch04-2026-05-20.md,P2 pending,予約の時間を調べてみます。,예약 시간을 한번 찾아보겠습니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/254bf018-bbdc-41f7-9458-67cedba4a4c7/script-line-0.mp3,PENDING,machine pass + no parsed machine/STT review signal,"listen once; if complete and intelligible, set new_verdict=PASS",,
HN4-013 script:3,docs/operations/plans/n4-wave2-draft-human-audio-qa-ch04-2026-05-20.md,P2 pending,大丈夫なら、申し込んでみます。,괜찮다면 한번 신청해 보겠습니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/254bf018-bbdc-41f7-9458-67cedba4a4c7/script-line-3.mp3,PENDING,machine pass + no parsed machine/STT review signal,"listen once; if complete and intelligible, set new_verdict=PASS",,
HN4-014 script:0,docs/operations/plans/n4-wave2-draft-human-audio-qa-ch04-2026-05-20.md,P2 pending,会議の前に資料を準備しておきます。,회의 전에 자료를 준비해 두겠습니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/a31b14ac-7a53-4aa9-81e9-e6e0f56ed6bc/script-line-0.mp3,PENDING,machine pass + no parsed machine/STT review signal,"listen once; if complete and intelligible, set new_verdict=PASS",,
HN4-014 script:1,docs/operations/plans/n4-wave2-draft-human-audio-qa-ch04-2026-05-20.md,P2 pending,参加する人に連絡しておきます。,참가하는 사람에게 연락해 두겠습니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/a31b14ac-7a53-4aa9-81e9-e6e0f56ed6bc/script-line-1.mp3,PENDING,machine pass + no parsed machine/STT review signal,"listen once; if complete and intelligible, set new_verdict=PASS",,
HN4-014 script:2,docs/operations/plans/n4-wave2-draft-human-audio-qa-ch04-2026-05-20.md,P2 pending,部屋も片付けておきましょう。,방도 정리해 둡시다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/a31b14ac-7a53-4aa9-81e9-e6e0f56ed6bc/script-line-2.mp3,PENDING,machine pass + no parsed machine/STT review signal,"listen once; if complete and intelligible, set new_verdict=PASS",,
HN4-014 script:3,docs/operations/plans/n4-wave2-draft-human-audio-qa-ch04-2026-05-20.md,P2 pending,予約の時間を決めておくと安心です。,예약 시간을 정해 두면 안심입니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/a31b14ac-7a53-4aa9-81e9-e6e0f56ed6bc/script-line-3.mp3,PENDING,machine pass + no parsed machine/STT review signal,"listen once; if complete and intelligible, set new_verdict=PASS",,
