target_key,packet,lesson_label,lesson_title,target_kind,target_order,lesson_id,target_type,field,target_id,provider_model,source_text,korean_context,stt_transcript,review_signals,current_audio_url,current_verdict,current_notes,recommended_action,regeneration_status,new_audio_url,post_regen_verdict,post_regen_notes
HN4-022 script:0,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,HN4-022,후배에게 지도를 그려 줘요,script,0,b9250446-d707-46d4-a461-66e273b8534e,lesson_script_line,script_line,b9250446-d707-46d4-a461-66e273b8534e:script:0,elevenlabs / eleven_multilingual_v2,後輩に地図を描いてあげました。,후배에게 지도를 그려 주었습니다.,後輩に地図を絵描いてあげました。,TRANSCRIPTION_TEXT_MISMATCH:後輩に地図を絵描いてあげました。,https://storage.googleapis.com/harukoto-storage/tts/lesson/b9250446-d707-46d4-a461-66e273b8534e/script-line-0.mp3,PENDING,,"regenerate audio, then STT audit before setting PASS or FLAG",,,,
HN4-022 script:1,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,HN4-022,후배에게 지도를 그려 줘요,script,1,b9250446-d707-46d4-a461-66e273b8534e,lesson_script_line,script_line,b9250446-d707-46d4-a461-66e273b8534e:script:1,elevenlabs / eleven_multilingual_v2,親切ですね。受付の場所も教えてあげましたか。,친절하네요. 접수처 위치도 알려 주었나요?,親切ですね。特定の場所も教えてあげましたか？,TRANSCRIPTION_TEXT_MISMATCH:親切ですね。特定の場所も教えてあげましたか？,https://storage.googleapis.com/harukoto-storage/tts/lesson/b9250446-d707-46d4-a461-66e273b8534e/script-line-1.mp3,PENDING,,"regenerate audio, then STT audit before setting PASS or FLAG",,,,
HN4-022 script:3,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,HN4-022,후배에게 지도를 그려 줘요,script,3,b9250446-d707-46d4-a461-66e273b8534e,lesson_script_line,script_line,b9250446-d707-46d4-a461-66e273b8534e:script:3,elevenlabs / eleven_multilingual_v2,手伝ってあげる時は、相手の気持ちも大事ですね。,도와줄 때는 상대의 마음도 중요하네요.,手伝って開ける時は相手の気持ちも大事ですね。,TRANSCRIPTION_TEXT_MISMATCH:手伝って開ける時は相手の気持ちも大事ですね。,https://storage.googleapis.com/harukoto-storage/tts/lesson/b9250446-d707-46d4-a461-66e273b8534e/script-line-3.mp3,PENDING,,"regenerate audio, then STT audit before setting PASS or FLAG",,,,
HN4-023 script:1,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,HN4-023,선배가 안내해 줬어요,script,1,45466832-238e-429a-af10-e9811dc360d3,lesson_script_line,script_line,45466832-238e-429a-af10-e9811dc360d3:script:1,elevenlabs / eleven_multilingual_v2,受付の場所も説明してくれましたか。,접수처 위치도 설명해 주었나요?,特ねの場所も説明してくれましたか？,TRANSCRIPTION_TEXT_MISMATCH:特ねの場所も説明してくれましたか？,https://storage.googleapis.com/harukoto-storage/tts/lesson/45466832-238e-429a-af10-e9811dc360d3/script-line-1.mp3,PENDING,,"regenerate audio, then STT audit before setting PASS or FLAG",,,,
HN4-024 script:0,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,HN4-024,주소를 확인해 달라고 했어요,script,0,35093fd4-0511-4bdc-bfe4-e4c25c269654,lesson_script_line,script_line,35093fd4-0511-4bdc-bfe4-e4c25c269654:script:0,elevenlabs / eleven_multilingual_v2,受付の人に住所を確認してもらいました。,접수처 직원에게 주소를 확인해 달라고 했습니다.,とくねの人に住所を確認してもらいました。,TRANSCRIPTION_TEXT_MISMATCH:とくねの人に住所を確認してもらいました。,https://storage.googleapis.com/harukoto-storage/tts/lesson/35093fd4-0511-4bdc-bfe4-e4c25c269654/script-line-0.mp3,PENDING,,"regenerate audio, then STT audit before setting PASS or FLAG",,,,
HN4-024 script:3,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,HN4-024,주소를 확인해 달라고 했어요,script,3,35093fd4-0511-4bdc-bfe4-e4c25c269654,lesson_script_line,script_line,35093fd4-0511-4bdc-bfe4-e4c25c269654:script:3,elevenlabs / eleven_multilingual_v2,必要なことは受付の人にもう一度確認してもらいましょう。,필요한 것은 접수처 직원에게 한 번 더 확인해 달라고 합시다.,必要なことは、テフの人にもう一度確認してもらいましょう。,TRANSCRIPTION_TEXT_MISMATCH:必要なことは、テフの人にもう一度確認してもらいましょう。,https://storage.googleapis.com/harukoto-storage/tts/lesson/35093fd4-0511-4bdc-bfe4-e4c25c269654/script-line-3.mp3,PENDING,,"regenerate audio, then STT audit before setting PASS or FLAG",,,,
HN4-025 script:1,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,HN4-025,예약했는데 자리가 없어요,script,1,b8b159a7-b8d4-45b3-a8d7-a9d07837b991,lesson_script_line,script_line,b8b159a7-b8d4-45b3-a8d7-a9d07837b991:script:1,elevenlabs / eleven_multilingual_v2,それは残念ですね。受付に連絡しましたか。,그건 아쉽네요. 접수처에 연락했나요?,それは残念ですね。手札に連絡しましたか？,TRANSCRIPTION_TEXT_MISMATCH:それは残念ですね。手札に連絡しましたか？,https://storage.googleapis.com/harukoto-storage/tts/lesson/b8b159a7-b8d4-45b3-a8d7-a9d07837b991/script-line-1.mp3,PENDING,,"regenerate audio, then STT audit before setting PASS or FLAG",,,,
HN4-026 script:0,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,HN4-026,자전거를 도난당했어요,script,0,ef3004f3-bca8-4621-b7aa-520cdde4e823,lesson_script_line,script_line,ef3004f3-bca8-4621-b7aa-520cdde4e823:script:0,elevenlabs / eleven_multilingual_v2,駅の前で自転車を盗まれました。,역 앞에서 자전거를 도난당했습니다.,いいの前で自転車を盗まれました。,TRANSCRIPTION_TEXT_MISMATCH:いいの前で自転車を盗まれました。,https://storage.googleapis.com/harukoto-storage/tts/lesson/ef3004f3-bca8-4621-b7aa-520cdde4e823/script-line-0.mp3,PENDING,,"regenerate audio, then STT audit before setting PASS or FLAG",,,,
HN4-026 script:1,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,HN4-026,자전거를 도난당했어요,script,1,ef3004f3-bca8-4621-b7aa-520cdde4e823,lesson_script_line,script_line,ef3004f3-bca8-4621-b7aa-520cdde4e823:script:1,elevenlabs / eleven_multilingual_v2,落とし物ではなく、盗まれたんですね。,분실물이 아니라 도난당한 거군요.,落とし物ではなく盗まれてたんですか,TRANSCRIPTION_TEXT_MISMATCH:落とし物ではなく盗まれてたんですか,https://storage.googleapis.com/harukoto-storage/tts/lesson/ef3004f3-bca8-4621-b7aa-520cdde4e823/script-line-1.mp3,PENDING,,"regenerate audio, then STT audit before setting PASS or FLAG",,,,
HN4-026 script:3,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,HN4-026,자전거를 도난당했어요,script,3,ef3004f3-bca8-4621-b7aa-520cdde4e823,lesson_script_line,script_line,ef3004f3-bca8-4621-b7aa-520cdde4e823:script:3,elevenlabs / eleven_multilingual_v2,近くのカメラの映像がこれから確認されます。,근처 카메라 영상이 이제 확인될 것입니다.,近くのカメラの影響がこれから確認されます。,TRANSCRIPTION_TEXT_MISMATCH:近くのカメラの影響がこれから確認されます。,https://storage.googleapis.com/harukoto-storage/tts/lesson/ef3004f3-bca8-4621-b7aa-520cdde4e823/script-line-3.mp3,PENDING,,"regenerate audio, then STT audit before setting PASS or FLAG",,,,
