target_key,packet,priority,review_signals,japanese_text,korean_context,audio_url,current_verdict,current_notes,new_verdict,new_notes
HN4-002 script:0,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,NEAR_MATCH_PROVIDER_FALLBACK_POST_REGEN_REVIEW,PROVIDER_FALLBACK_REGENERATED,少し頭が痛いです。,머리가 조금 아픕니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/89433566-b321-4f99-ac20-9ffb87e69d6b/script-line-0-regen-20260518T030500Z.mp3,PENDING,Near-match provider fallback TTS regenerated on 2026-05-18; run STT-assisted audit before setting PASS or FLAG.,PASS,Delegated AI-assisted post-regeneration PASS: MP3 probe passed and STT matched source exactly; not native-speaker review.
HN4-002 script:2,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,NEAR_MATCH_PROVIDER_FALLBACK_POST_REGEN_REVIEW,PROVIDER_FALLBACK_REGENERATED,医者に相談したほうがいいですか。,의사와 상담하는 편이 좋을까요?,https://storage.googleapis.com/harukoto-storage/tts/lesson/89433566-b321-4f99-ac20-9ffb87e69d6b/script-line-2-regen-20260518T030500Z.mp3,PENDING,Near-match provider fallback TTS regenerated on 2026-05-18; run STT-assisted audit before setting PASS or FLAG.,FLAG,Delegated AI-assisted FLAG: regenerated audio still has review signal(s) TRANSCRIPTION_TEXT_MISMATCH:医者に相談した方がいいですか？; direct-listen or regenerate before rollout; not native-speaker review.
HN4-004 script:0,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,NEAR_MATCH_PROVIDER_FALLBACK_POST_REGEN_REVIEW,PROVIDER_FALLBACK_REGENERATED,時間が足りません。駅まで走るしかありません。,시간이 부족합니다. 역까지 달릴 수밖에 없습니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/8368ee77-eeb8-48b2-9c81-2cfd597e5f7a/script-line-0-regen-20260518T030500Z.mp3,PENDING,Near-match provider fallback TTS regenerated on 2026-05-18; run STT-assisted audit before setting PASS or FLAG.,PASS,Delegated AI-assisted post-regeneration PASS: MP3 probe passed and STT matched source exactly; not native-speaker review.
HN4-004 script:1,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,NEAR_MATCH_PROVIDER_FALLBACK_POST_REGEN_REVIEW,PROVIDER_FALLBACK_REGENERATED,次の予定がありますからね。,다음 일정이 있으니까요.,https://storage.googleapis.com/harukoto-storage/tts/lesson/8368ee77-eeb8-48b2-9c81-2cfd597e5f7a/script-line-1-regen-20260518T030500Z.mp3,PENDING,Near-match provider fallback TTS regenerated on 2026-05-18; run STT-assisted audit before setting PASS or FLAG.,PASS,Delegated AI-assisted post-regeneration PASS: MP3 probe passed and STT matched source exactly; not native-speaker review.
HN4-005 script:1,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,NEAR_MATCH_PROVIDER_FALLBACK_POST_REGEN_REVIEW,PROVIDER_FALLBACK_REGENERATED,文も翻訳できますか。,문장도 번역할 수 있나요?,https://storage.googleapis.com/harukoto-storage/tts/lesson/17851e67-db52-41b8-a651-d416251b0ead/script-line-1-regen-20260518T030500Z.mp3,PENDING,Near-match provider fallback TTS regenerated on 2026-05-18; run STT-assisted audit before setting PASS or FLAG.,PASS,Delegated AI-assisted post-regeneration PASS: MP3 probe passed and STT matched source exactly; not native-speaker review.
HN4-005 script:2,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,NEAR_MATCH_PROVIDER_FALLBACK_POST_REGEN_REVIEW,PROVIDER_FALLBACK_REGENERATED,はい。授業の予約にも申し込めます。,네. 수업 예약도 신청할 수 있습니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/17851e67-db52-41b8-a651-d416251b0ead/script-line-2-regen-20260518T030500Z.mp3,PENDING,Near-match provider fallback TTS regenerated on 2026-05-18; run STT-assisted audit before setting PASS or FLAG.,FLAG,Delegated AI-assisted FLAG: regenerated audio still has review signal(s) TRANSCRIPTION_TEXT_MISMATCH:はい、授業の予約にも申し込みます。; direct-listen or regenerate before rollout; not native-speaker review.
HN4-006 script:1,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,NEAR_MATCH_PROVIDER_FALLBACK_POST_REGEN_REVIEW,PROVIDER_FALLBACK_REGENERATED,この川の浅さも分かりますか。,이 강의 얕은 정도도 알 수 있나요?,https://storage.googleapis.com/harukoto-storage/tts/lesson/94d8d321-17c6-4fa1-8c50-af29c08e9c22/script-line-1-regen-20260518T030500Z.mp3,PENDING,Near-match provider fallback TTS regenerated on 2026-05-18; run STT-assisted audit before setting PASS or FLAG.,FLAG,Delegated AI-assisted FLAG: regenerated audio still has review signal(s) TRANSCRIPTION_TEXT_MISMATCH:この川の浅さも分かります; direct-listen or regenerate before rollout; not native-speaker review.
HN4-008 script:2,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,NEAR_MATCH_PROVIDER_FALLBACK_POST_REGEN_REVIEW,PROVIDER_FALLBACK_REGENERATED,会議が長かったのです。,회의가 길었던 거예요.,https://storage.googleapis.com/harukoto-storage/tts/lesson/78e8b581-c81d-4465-b49d-cf0e4b49db4a/script-line-2-regen-20260518T030500Z.mp3,PENDING,Near-match provider fallback TTS regenerated on 2026-05-18; run STT-assisted audit before setting PASS or FLAG.,FLAG,Delegated AI-assisted FLAG: regenerated audio still has review signal(s) TRANSCRIPTION_TEXT_MISMATCH:会議が長かった; direct-listen or regenerate before rollout; not native-speaker review.
HN4-011 script:0,docs/operations/plans/n4-pilot-human-audio-qa-ch03-2026-05-13.md,NEAR_MATCH_PROVIDER_FALLBACK_POST_REGEN_REVIEW,PROVIDER_FALLBACK_REGENERATED,ノートを選ぶ前に、紙の厚さを比べています。,노트를 고르기 전에 종이의 두께를 비교하고 있습니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/03cfdb15-c916-450c-8168-9052f3e754aa/script-line-0-regen-20260518T030500Z.mp3,PENDING,Near-match provider fallback TTS regenerated on 2026-05-18; run STT-assisted audit before setting PASS or FLAG.,PASS,Delegated AI-assisted post-regeneration PASS: MP3 probe passed and STT matched source exactly; not native-speaker review.
HN4-011 script:2,docs/operations/plans/n4-pilot-human-audio-qa-ch03-2026-05-13.md,NEAR_MATCH_PROVIDER_FALLBACK_POST_REGEN_REVIEW,PROVIDER_FALLBACK_REGENERATED,はい。この紙の柔らかさも確認します。,네. 이 종이의 부드러운 정도도 확인합니다.,https://storage.googleapis.com/harukoto-storage/tts/lesson/03cfdb15-c916-450c-8168-9052f3e754aa/script-line-2-regen-20260518T030500Z.mp3,PENDING,Near-match provider fallback TTS regenerated on 2026-05-18; run STT-assisted audit before setting PASS or FLAG.,PASS,Delegated AI-assisted post-regeneration PASS: MP3 probe passed and STT matched source exactly; not native-speaker review.
