target_key,packet,priority,review_signals,japanese_text,korean_context,provider_model,audio_url,current_verdict,current_notes,new_verdict,new_notes
HN4-001 question:3,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P0_MACHINE_WARNING_PROVIDER_FALLBACK_POST_REGEN_REVIEW,"PROVIDER_FALLBACK_REGENERATED, HIGH_SILENCE_RATIO:0.3863, TRANSCRIPTION_TEXT_MISMATCH:名前を書き イムルスセヨ",名前を書き___. (이름을 쓰세요.),,gemini / gemini-2.5-flash-preview-tts,https://storage.googleapis.com/harukoto-storage/tts/lesson/b544d1f5-8089-45f8-b3d9-6428b60a0ece/question-3-regen-20260518T055500Z.mp3,PENDING,P0 machine-warning provider fallback TTS resolved to current DB audio; run STT-assisted audit before setting PASS or FLAG.,FLAG,Delegated AI-assisted FLAG: regenerated audio still has review signal(s) TRANSCRIPTION_TEXT_MISMATCH:なまえを; direct-listen or regenerate before rollout; not native-speaker review.
HN4-002 question:4,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P0_MACHINE_WARNING_PROVIDER_FALLBACK_POST_REGEN_REVIEW,"PROVIDER_FALLBACK_REGENERATED, HIGH_SILENCE_RATIO:0.3876, TRANSCRIPTION_TEXT_MISMATCH:医者に相談 医者と相談する方がいいです",医者に相談___。 (의사와 상담하는 편이 좋습니다.),,gemini / gemini-2.5-flash-preview-tts,https://storage.googleapis.com/harukoto-storage/tts/lesson/89433566-b321-4f99-ac20-9ffb87e69d6b/question-4-regen-20260518T055500Z.mp3,PENDING,P0 machine-warning provider fallback TTS resolved to current DB audio; run STT-assisted audit before setting PASS or FLAG.,FLAG,Delegated AI-assisted FLAG: regenerated audio still has review signal(s) TRANSCRIPTION_TEXT_MISMATCH:ガイさんボイ; direct-listen or regenerate before rollout; not native-speaker review.
HN4-003 question:3,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P0_MACHINE_WARNING_PROVIDER_FALLBACK_POST_REGEN_REVIEW,"PROVIDER_FALLBACK_REGENERATED, HIGH_SILENCE_RATIO:0.3646, TRANSCRIPTION_TEXT_MISMATCH:転写が遅れる ちょんちょり ぬじるちど もるにだ",電車が遅れる___。 (전철이 늦을지도 모릅니다.),,gemini / gemini-2.5-flash-preview-tts,https://storage.googleapis.com/harukoto-storage/tts/lesson/82d7334e-c4c4-4102-86ea-7be9b3218bce/question-3-regen-20260518T055500Z.mp3,PENDING,P0 machine-warning provider fallback TTS resolved to current DB audio; run STT-assisted audit before setting PASS or FLAG.,FLAG,Delegated AI-assisted FLAG: regenerated audio still has review signal(s) TRANSCRIPTION_TEXT_MISMATCH:전철이 늦을지도; direct-listen or regenerate before rollout; not native-speaker review.
HN4-003 question:4,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P0_MACHINE_WARNING_PROVIDER_FALLBACK_POST_REGEN_REVIEW,"PROVIDER_FALLBACK_REGENERATED, HIGH_SILENCE_RATIO:0.4078, TRANSCRIPTION_TEXT_MISMATCH:間に合わない。 時間に間に合わないかもしれません。",間に合わない___。 (시간에 맞지 못할지도 모릅니다.),,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/82d7334e-c4c4-4102-86ea-7be9b3218bce/question-4-regen-20260518T041500Z.mp3,PENDING,P0 machine-warning provider fallback TTS resolved to current DB audio; run STT-assisted audit before setting PASS or FLAG.,FLAG,"Delegated AI-assisted FLAG: regenerated audio still has review signal(s) HIGH_SILENCE_RATIO:0.3725, TRANSCRIPTION_TEXT_MISMATCH:カニ合わない; direct-listen or regenerate before rollout; not native-speaker review."
HN4-004 question:4,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P0_MACHINE_WARNING_PROVIDER_FALLBACK_POST_REGEN_REVIEW,"PROVIDER_FALLBACK_REGENERATED, HIGH_SILENCE_RATIO:0.3813, TRANSCRIPTION_TEXT_MISMATCH:電車に乗るは ちょんちょろをたるすわけありません。",電車に乗る___。 (전철을 탈 수밖에 없습니다.),,gemini / gemini-2.5-flash-preview-tts,https://storage.googleapis.com/harukoto-storage/tts/lesson/8368ee77-eeb8-48b2-9c81-2cfd597e5f7a/question-4-regen-20260518T055500Z.mp3,PENDING,P0 machine-warning provider fallback TTS resolved to current DB audio; run STT-assisted audit before setting PASS or FLAG.,FLAG,Delegated AI-assisted FLAG: regenerated audio still has review signal(s) TRANSCRIPTION_TEXT_MISMATCH:電車を乗るしかない。; direct-listen or regenerate before rollout; not native-speaker review.
HN4-005 question:4,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,P0_MACHINE_WARNING_PROVIDER_FALLBACK_POST_REGEN_REVIEW,"PROVIDER_FALLBACK_REGENERATED, HIGH_SILENCE_RATIO:0.3968, TRANSCRIPTION_TEXT_MISMATCH:文語翻訳 文章を翻訳することができます",文を翻訳___。 (문장을 번역할 수 있습니다.),,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/17851e67-db52-41b8-a651-d416251b0ead/question-4-regen-20260518T041500Z.mp3,PENDING,P0 machine-warning provider fallback TTS resolved to current DB audio; run STT-assisted audit before setting PASS or FLAG.,FLAG,Delegated AI-assisted FLAG: regenerated audio still has review signal(s) TRANSCRIPTION_TEXT_MISMATCH:文を翻訳 マチタ ムンジャンを翻訳することができます; direct-listen or regenerate before rollout; not native-speaker review.
HN4-006 question:4,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P0_MACHINE_WARNING_PROVIDER_FALLBACK_POST_REGEN_REVIEW,"PROVIDER_FALLBACK_REGENERATED, HIGH_SILENCE_RATIO:0.3523, TRANSCRIPTION_TEXT_MISMATCH:洗脳体を見ます。そうね、クッキリを見ます。",線の太___を見ます。 (선의 굵기를 봅니다.),,gemini / gemini-2.5-flash-preview-tts,https://storage.googleapis.com/harukoto-storage/tts/lesson/94d8d321-17c6-4fa1-8c50-af29c08e9c22/question-4-regen-20260518T055500Z.mp3,PENDING,P0 machine-warning provider fallback TTS resolved to current DB audio; run STT-assisted audit before setting PASS or FLAG.,FLAG,Delegated AI-assisted FLAG: regenerated audio still has review signal(s) TRANSCRIPTION_TEXT_MISMATCH:線の太さを見ます。; direct-listen or regenerate before rollout; not native-speaker review.
HN4-008 question:3,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P0_MACHINE_WARNING_PROVIDER_FALLBACK_POST_REGEN_REVIEW,"PROVIDER_FALLBACK_REGENERATED, HIGH_SILENCE_RATIO:0.4026, TRANSCRIPTION_TEXT_MISMATCH:会議がなかった フェイが消ろとんごよ",会議が長かった___。 (회의가 길었던 거예요.),,gemini / gemini-2.5-flash-preview-tts,https://storage.googleapis.com/harukoto-storage/tts/lesson/78e8b581-c81d-4465-b49d-cf0e4b49db4a/question-3-regen-20260518T055500Z.mp3,PENDING,P0 machine-warning provider fallback TTS resolved to current DB audio; run STT-assisted audit before setting PASS or FLAG.,FLAG,Delegated AI-assisted FLAG: regenerated audio still has review signal(s) TRANSCRIPTION_TEXT_MISMATCH:会議が長かった; direct-listen or regenerate before rollout; not native-speaker review.
HN4-009 question:4,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P0_MACHINE_WARNING_PROVIDER_FALLBACK_POST_REGEN_REVIEW,"PROVIDER_FALLBACK_REGENERATED, HIGH_SILENCE_RATIO:0.4041, TRANSCRIPTION_TEXT_MISMATCH:給食する 準備します",就職する___、準備します。 (취직하기 위해 준비합니다.),,gemini / gemini-2.5-flash-preview-tts,https://storage.googleapis.com/harukoto-storage/tts/lesson/3221de04-7925-47d9-880a-2adcabfc58b1/question-4-regen-20260518T055500Z.mp3,PENDING,P0 machine-warning provider fallback TTS resolved to current DB audio; run STT-assisted audit before setting PASS or FLAG.,FLAG,Delegated AI-assisted FLAG: regenerated audio still has review signal(s) TRANSCRIPTION_TEXT_MISMATCH:就職する準備; direct-listen or regenerate before rollout; not native-speaker review.
HN4-010 question:4,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,P0_MACHINE_WARNING_PROVIDER_FALLBACK_POST_REGEN_REVIEW,"PROVIDER_FALLBACK_REGENERATED, HIGH_SILENCE_RATIO:0.3915, TRANSCRIPTION_TEXT_MISMATCH:信号が青になる 車が進みます",信号が青になる___、車が進みます。,,gemini / gemini-2.5-flash-preview-tts,https://storage.googleapis.com/harukoto-storage/tts/lesson/1445c28c-bd0c-4c0a-b8f7-2708c51acca7/question-4-regen-20260518T055500Z.mp3,PENDING,P0 machine-warning provider fallback TTS resolved to current DB audio; run STT-assisted audit before setting PASS or FLAG.,FLAG,Delegated AI-assisted FLAG: regenerated audio still has review signal(s) TRANSCRIPTION_TEXT_MISMATCH:信号が青になる。車が進む。; direct-listen or regenerate before rollout; not native-speaker review.
