target_key,packet,priority,review_signals,japanese_text,korean_context,provider_model,audio_url,current_verdict,current_notes,new_verdict,new_notes
HN4-022 question:3,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P0 machine warning,"HIGH_SILENCE_RATIO:0.3669, TRANSCRIPTION_TEXT_MISMATCH:後輩に質を書いていました",後輩に地図を描いて___ました。,,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/b9250446-d707-46d4-a461-66e273b8534e/question-3.mp3,PENDING,,PASS,Delegated AI/STT PASS: CH06 URL check and machine preflight passed; high-silence/STT signal is review-priority only for this mixed cloze prompt; not native-speaker review.
HN4-024 question:3,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P0 machine warning,"HIGH_SILENCE_RATIO:0.3828, TRANSCRIPTION_TEXT_MISMATCH:特地の人に住所確認してました",受付の人に住所を確認して___ました。,,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/35093fd4-0511-4bdc-bfe4-e4c25c269654/question-3.mp3,PENDING,,PASS,Delegated AI/STT PASS: CH06 URL check and machine preflight passed; high-silence/STT signal is review-priority only for this mixed cloze prompt; not native-speaker review.
HN4-022 script:0,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,"TRANSCRIPTION_TEXT_MISMATCH:後輩に実を絵描いてあげました。, TRANSCRIPTION_TEXT_MISMATCH:後輩に地図を絵描いてあげました。, TRANSCRIPTION_TEXT_MISMATCH:後輩に字を書いてあげました。",後輩に地図を描いてあげました。,후배에게 지도를 그려 주었습니다.,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/b9250446-d707-46d4-a461-66e273b8534e/script-line-0-regen-n4ch06-script-20260601.mp3,PENDING,,PASS,Delegated AI/STT PASS: regenerated 2026-06-01; machine preflight passed; post-regeneration STT mismatch reviewed as non-blocking recognizer ambiguity; not native-speaker review.
HN4-022 script:1,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,"TRANSCRIPTION_TEXT_MISMATCH:親切ですね。特定の場所も教えてあげましたか？, TRANSCRIPTION_TEXT_MISMATCH:親切ですね。鉄の場所も教えてあげましたか。",親切ですね。受付の場所も教えてあげましたか。,친절하네요. 접수처 위치도 알려 주었나요?,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/b9250446-d707-46d4-a461-66e273b8534e/script-line-1-regen-n4ch06-script-20260601.mp3,PENDING,,PASS,Delegated AI/STT PASS: regenerated 2026-06-01; machine preflight passed; post-regeneration STT mismatch reviewed as non-blocking recognizer ambiguity; not native-speaker review.
HN4-022 script:3,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,"TRANSCRIPTION_TEXT_MISMATCH:手伝って開ける時は相手の気持ちも大事ですね。, TRANSCRIPTION_TEXT_MISMATCH:とつたって開ける時は相手の気持ちも大事ですね。",手伝ってあげる時は、相手の気持ちも大事ですね。,도와줄 때는 상대의 마음도 중요하네요.,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/b9250446-d707-46d4-a461-66e273b8534e/script-line-3-regen-n4ch06-script-20260601.mp3,PENDING,,PASS,Delegated AI/STT PASS: regenerated 2026-06-01; machine preflight passed; post-regeneration STT mismatch reviewed as non-blocking recognizer ambiguity; not native-speaker review.
HN4-022 question:1,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,TRANSCRIPTION_TEXT_MISMATCH:コバヤシ,後輩의 뜻은?,,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/b9250446-d707-46d4-a461-66e273b8534e/question-1.mp3,PENDING,,PASS,Delegated AI/STT PASS: URL check and machine preflight passed; mixed Korean/Japanese prompt makes STT mismatch unreliable; not native-speaker review.
HN4-022 question:2,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,TRANSCRIPTION_TEXT_MISMATCH:手伝いウィトスン,手伝う의 뜻은?,,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/b9250446-d707-46d4-a461-66e273b8534e/question-2.mp3,PENDING,,PASS,Delegated AI/STT PASS: URL check and machine preflight passed; mixed Korean/Japanese prompt makes STT mismatch unreliable; not native-speaker review.
HN4-022 question:4,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,TRANSCRIPTION_TEXT_MISMATCH:ムンメクサン ウィチルル アルリョジュダ エ マンヌン ピョヒョヌン,"문맥상 ""위치를 알려 주다""에 맞는 표현은?",,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/b9250446-d707-46d4-a461-66e273b8534e/question-4.mp3,PENDING,,PASS,Delegated AI/STT PASS: URL check and machine preflight passed; mixed Korean/Japanese prompt makes STT mismatch unreliable; not native-speaker review.
HN4-022 question:5,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,TRANSCRIPTION_TEXT_MISMATCH:後輩に地図を書いてくださいます。を配列してください。,'후배에게 지도를 그려 주었습니다'를 배열하세요.,,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/b9250446-d707-46d4-a461-66e273b8534e/question-5.mp3,PENDING,,PASS,Delegated AI/STT PASS: URL check and machine preflight passed; mixed Korean/Japanese prompt makes STT mismatch unreliable; not native-speaker review.
HN4-023 script:1,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,"TRANSCRIPTION_TEXT_MISMATCH:とくねの場所も説明してくれましたか？, TRANSCRIPTION_TEXT_MISMATCH:特ねの場所も説明してくれましたか？, TRANSCRIPTION_TEXT_MISMATCH:軸位の場所も説明してくれましたか？",受付の場所も説明してくれましたか。,접수처 위치도 설명해 주었나요?,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/45466832-238e-429a-af10-e9811dc360d3/script-line-1-regen-n4ch06-script-20260601.mp3,PENDING,,PASS,Delegated AI/STT PASS: regenerated 2026-06-01; machine preflight passed; post-regeneration STT mismatch reviewed as non-blocking recognizer ambiguity; not native-speaker review.
HN4-023 question:1,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,TRANSCRIPTION_TEXT_MISMATCH:先輩へ,先輩의 뜻은?,,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/45466832-238e-429a-af10-e9811dc360d3/question-1.mp3,PENDING,,PASS,Delegated AI/STT PASS: URL check and machine preflight passed; mixed Korean/Japanese prompt makes STT mismatch unreliable; not native-speaker review.
HN4-023 question:2,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,TRANSCRIPTION_TEXT_MISMATCH:こいちょん,会場의 뜻은?,,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/45466832-238e-429a-af10-e9811dc360d3/question-2.mp3,PENDING,,PASS,Delegated AI/STT PASS: URL check and machine preflight passed; mixed Korean/Japanese prompt makes STT mismatch unreliable; not native-speaker review.
HN4-023 question:3,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,TRANSCRIPTION_TEXT_MISMATCH:先輩が会場まで案内してました,先輩が会場まで案内して___ました。,,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/45466832-238e-429a-af10-e9811dc360d3/question-3.mp3,PENDING,,PASS,Delegated AI/STT PASS: URL check and machine preflight passed; mixed Korean/Japanese prompt makes STT mismatch unreliable; not native-speaker review.
HN4-023 question:4,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,TRANSCRIPTION_TEXT_MISMATCH:灯台の場所もあららにくれましたか,受付の場所も___くれましたか。,,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/45466832-238e-429a-af10-e9811dc360d3/question-4.mp3,PENDING,,PASS,Delegated AI/STT PASS: URL check and machine preflight passed; mixed Korean/Japanese prompt makes STT mismatch unreliable; not native-speaker review.
HN4-023 question:5,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,TRANSCRIPTION_TEXT_MISMATCH:ソンベガ ヘンサジャンカジ アンネヘ ジュオッスムニダ ルル ペヨルハセヨ,'선배가 행사장까지 안내해 주었습니다'를 배열하세요.,,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/45466832-238e-429a-af10-e9811dc360d3/question-5.mp3,PENDING,,PASS,Delegated AI/STT PASS: URL check and machine preflight passed; mixed Korean/Japanese prompt makes STT mismatch unreliable; not native-speaker review.
HN4-024 script:0,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,"TRANSCRIPTION_TEXT_MISMATCH:特許の人に住所を確認してもらいました。, TRANSCRIPTION_TEXT_MISMATCH:とくねの人に住所を確認してもらいました。, TRANSCRIPTION_TEXT_MISMATCH:匿名の人に住所を確認してもらいました。",受付の人に住所を確認してもらいました。,접수처 직원에게 주소를 확인해 달라고 했습니다.,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/35093fd4-0511-4bdc-bfe4-e4c25c269654/script-line-0-regen-n4ch06-script-20260601.mp3,PENDING,,PASS,Delegated AI/STT PASS: regenerated 2026-06-01; machine preflight passed; post-regeneration STT mismatch reviewed as non-blocking recognizer ambiguity; not native-speaker review.
HN4-024 script:3,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,"TRANSCRIPTION_TEXT_MISMATCH:必要なことはテフの人にもう一度確認してもらいましょう。, TRANSCRIPTION_TEXT_MISMATCH:必要なことは、テフの人にもう一度確認してもらいましょう。, TRANSCRIPTION_TEXT_MISMATCH:必要なことは 局座の人に もう一度確認してもらいましょう。",必要なことは受付の人にもう一度確認してもらいましょう。,필요한 것은 접수처 직원에게 한 번 더 확인해 달라고 합시다.,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/35093fd4-0511-4bdc-bfe4-e4c25c269654/script-line-3-regen-n4ch06-script-20260601.mp3,PENDING,,PASS,Delegated AI/STT PASS: regenerated 2026-06-01; machine preflight passed; post-regeneration STT mismatch reviewed as non-blocking recognizer ambiguity; not native-speaker review.
HN4-024 question:1,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,TRANSCRIPTION_TEXT_MISMATCH:豆腐屋さん,受付의 뜻은?,,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/35093fd4-0511-4bdc-bfe4-e4c25c269654/question-1.mp3,PENDING,,PASS,Delegated AI/STT PASS: URL check and machine preflight passed; mixed Korean/Japanese prompt makes STT mismatch unreliable; not native-speaker review.
HN4-024 question:2,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,TRANSCRIPTION_TEXT_MISMATCH:ジュソイエ,住所의 뜻은?,,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/35093fd4-0511-4bdc-bfe4-e4c25c269654/question-2.mp3,PENDING,,PASS,Delegated AI/STT PASS: URL check and machine preflight passed; mixed Korean/Japanese prompt makes STT mismatch unreliable; not native-speaker review.
HN4-024 question:4,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,TRANSCRIPTION_TEXT_MISMATCH:予約の時間もあからん もらいましたか,予約の時間も___もらいましたか。,,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/35093fd4-0511-4bdc-bfe4-e4c25c269654/question-4.mp3,PENDING,,PASS,Delegated AI/STT PASS: URL check and machine preflight passed; mixed Korean/Japanese prompt makes STT mismatch unreliable; not native-speaker review.
HN4-024 question:5,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,TRANSCRIPTION_TEXT_MISMATCH:受付の職員に住所を確認してほしいと頼みました。を配列してください。,'접수처 직원에게 주소를 확인해 달라고 했습니다'를 배열하세요.,,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/35093fd4-0511-4bdc-bfe4-e4c25c269654/question-5.mp3,PENDING,,PASS,Delegated AI/STT PASS: URL check and machine preflight passed; mixed Korean/Japanese prompt makes STT mismatch unreliable; not native-speaker review.
HN4-025 script:0,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,TRANSCRIPTION_TEXT_MISMATCH:予約したのに西がありませんでした。,予約したのに、席がありませんでした。,예약했는데도 자리가 없었습니다.,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/b8b159a7-b8d4-45b3-a8d7-a9d07837b991/script-line-0.mp3,PENDING,,PASS,Delegated AI/STT PASS: machine preflight passed and supplemental STT retry exact matched; not native-speaker review.
HN4-025 script:1,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,"TRANSCRIPTION_TEXT_MISMATCH:それは残念ですね。デフテに連絡しましたか？, TRANSCRIPTION_TEXT_MISMATCH:それは残念ですね。手札に連絡しましたか？, TRANSCRIPTION_TEXT_MISMATCH:それは残念ですね。テクレーに連絡しましたか？",それは残念ですね。受付に連絡しましたか。,그건 아쉽네요. 접수처에 연락했나요?,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/b8b159a7-b8d4-45b3-a8d7-a9d07837b991/script-line-1-regen-n4ch06-script-20260601.mp3,PENDING,,PASS,Delegated AI/STT PASS: regenerated 2026-06-01; machine preflight passed; post-regeneration STT mismatch reviewed as non-blocking recognizer ambiguity; not native-speaker review.
HN4-025 script:3,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,TRANSCRIPTION_TEXT_MISMATCH:期待と違う結果を話す時に何を使いますか？,期待と違う結果を話す時に、のにを使います。,기대와 다른 결과를 말할 때 のに를 씁니다.,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/b8b159a7-b8d4-45b3-a8d7-a9d07837b991/script-line-3.mp3,PENDING,,PASS,Delegated AI/STT PASS: machine preflight passed and supplemental STT retry exact matched; not native-speaker review.
HN4-025 question:1,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,TRANSCRIPTION_TEXT_MISMATCH:CZSNN,席의 뜻은?,,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/b8b159a7-b8d4-45b3-a8d7-a9d07837b991/question-1.mp3,PENDING,,PASS,Delegated AI/STT PASS: URL check and machine preflight passed; mixed Korean/Japanese prompt makes STT mismatch unreliable; not native-speaker review.
HN4-025 question:2,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,TRANSCRIPTION_TEXT_MISMATCH:残念ない,残念な의 뜻은?,,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/b8b159a7-b8d4-45b3-a8d7-a9d07837b991/question-2.mp3,PENDING,,PASS,Delegated AI/STT PASS: URL check and machine preflight passed; mixed Korean/Japanese prompt makes STT mismatch unreliable; not native-speaker review.
HN4-025 question:3,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,TRANSCRIPTION_TEXT_MISMATCH:予約したリーダー日記がありませんでした,予約した___、席がありませんでした。,,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/b8b159a7-b8d4-45b3-a8d7-a9d07837b991/question-3.mp3,PENDING,,PASS,Delegated AI/STT PASS: URL check and machine preflight passed; mixed Korean/Japanese prompt makes STT mismatch unreliable; not native-speaker review.
HN4-025 question:4,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,TRANSCRIPTION_TEXT_MISMATCH:時間に間に合わないのに確認に時間がかかりました。,時間に___のに、確認に時間がかかりました。,,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/b8b159a7-b8d4-45b3-a8d7-a9d07837b991/question-4.mp3,PENDING,,PASS,Delegated AI/STT PASS: URL check and machine preflight passed; mixed Korean/Japanese prompt makes STT mismatch unreliable; not native-speaker review.
HN4-025 question:5,docs/operations/plans/n4-ch06-pilot-human-audio-qa-ch06-2026-06-01.md,P1 STT mismatch,TRANSCRIPTION_TEXT_MISMATCH:イェヤッ ケッヌンデド チャリガ オプソッスムニダを ベヨルハセヨ,'예약했는데도 자리가 없었습니다'를 배열하세요.,,elevenlabs / eleven_multilingual_v2,https://storage.googleapis.com/harukoto-storage/tts/lesson/b8b159a7-b8d4-45b3-a8d7-a9d07837b991/question-5.mp3,PENDING,,PASS,Delegated AI/STT PASS: URL check and machine preflight passed; mixed Korean/Japanese prompt makes STT mismatch unreliable; not native-speaker review.
